category,name,description,price,badge,image
Coffee,Espresso,"A short, bright double shot pulled from our house Cameroonian roast.",1000,,/images/photo-19873648.webp
Coffee,Cappuccino,"Espresso under steamed milk and a thick, velvety cap of foam.",1800,Popular,/images/photo-6747870.webp
Coffee,Cafe au Lait,"Gentle drip coffee softened with plenty of warm milk.",1500,,/images/photo-2067432.webp
Coffee,Flat White,"Two ristretto shots under silky microfoam. Smooth and strong.",2000,,/images/photo-4299700.webp
Coffee,Mont Cameroun Pour-Over,"Single-origin beans from the slopes of Mount Cameroon, brewed by hand.",2500,House Favourite,/images/photo-2616164.webp
Coffee,Cafe Mocha,"Espresso, steamed milk, and dark chocolate finished with cocoa.",2200,,/images/photo-997670.webp
Coffee,Cold Brew,"Steeped eighteen hours for a smooth, low-acid cup over ice.",2200,New,/images/photo-32542054.webp
Tea,Mint Tea,"Fresh mint leaves steeped hot and lightly sweetened.",1200,,/images/photo-9452278.webp
Tea,Hot Bissap,"Dried hibiscus flowers brewed into a deep, tart, ruby-red tea.",1200,,/images/photo-28617425.webp
Tea,Ginger Lemongrass,"Warming ginger and lemongrass, a local remedy in a cup.",1300,,/images/photo-34835064.webp
Tea,English Breakfast,"Classic black tea, served with milk or lemon.",1200,,/images/photo-9136977.webp
Fresh Juices,Bissap Juice,"Chilled hibiscus juice with a hint of pineapple and mint.",1500,Popular,/images/photo-17612807.webp
Fresh Juices,Jus de Gingembre,"Cold-pressed ginger juice, sharp, spicy, and refreshing.",1500,,/images/photo-11009205.webp
Fresh Juices,Mango Juice,"Ripe local mangoes blended smooth. Thick and golden.",1800,,/images/photo-17612822.webp
Fresh Juices,Pineapple Juice,"Freshly pressed pineapple, bright and tropical.",1600,,/images/photo-31822992.webp
Fresh Juices,Orange Juice,"Squeezed to order from sweet, in-season oranges.",1600,,/images/photo-30900665.webp
Fresh Juices,Folere,"Our seasonal hibiscus-and-fruit house blend. Ask what's in it today.",1500,Seasonal,/images/photo-31823001.webp
Pastries,Butter Croissant,"All-butter croissant, laminated and baked in-house each morning.",1000,Popular,/images/photo-3850374.webp
Pastries,Pain au Chocolat,"Flaky pastry wrapped around two batons of dark chocolate.",1200,,/images/photo-9822688.webp
Pastries,Almond Croissant,"Croissant filled with almond cream and toasted almonds.",1500,House Favourite,/images/photo-17581159.webp
Pastries,Beignets Souffles,"Light, airy fried dough dusted with sugar. Best warm.",800,,/images/photo-7773671.webp
Pastries,Banana Bread,"Moist banana loaf with a hint of brown butter.",1200,,/images/photo-33739660.webp
Breakfast,Douala Omelette,"Three-egg omelette with tomato, onion, and pepper, served with baguette.",2500,,/images/photo-3850992.webp
Breakfast,Puff-Puff and Beans,"Soft fried puff-puff with slow-cooked beans. A Douala morning staple.",2000,Popular,/images/photo-13915068.webp
Breakfast,Akara,"Crispy black-eyed-pea fritters, fried to order.",1500,,/images/photo-34759311.webp
Breakfast,Avocado and Egg Toast,"Sourdough with smashed avocado and a soft fried egg.",3000,New,/images/photo-33376829.webp
Breakfast,Farmhouse Plate,"Eggs, cheese, fresh bread, fruit, and preserves to share.",3500,House Favourite,/images/photo-4869428.webp
Light Lunches,Grilled Chicken Sandwich,"Marinated grilled chicken, greens, and aioli on toasted bread.",3500,Popular,/images/photo-19202829.webp
Light Lunches,Garden Veggie Wrap,"Roasted vegetables, hummus, and greens in a soft wrap.",3000,,/images/photo-6169449.webp
Light Lunches,Club Sandwich,"Triple-stacked chicken, egg, tomato, and lettuce with fries.",3800,,/images/photo-15362507.webp
Light Lunches,Garden Salad,"Crisp seasonal vegetables with a light citrus dressing.",3000,House Favourite,/images/photo-29843061.webp
Light Lunches,Avocado and Edamame Bowl,"A fresh bowl of greens, avocado, edamame, and toasted seeds.",3500,,/images/photo-7660433.webp
Local Specialties,Ndole with Plantain,"Our signature bitterleaf-and-peanut stew with fried ripe plantain.",4500,House Favourite,/images/photo-17952745.webp
Local Specialties,Poulet DG,"Directeur General chicken with plantain and vegetables.",5000,Popular,/images/photo-13915043.webp
Local Specialties,Jollof Rice and Chicken,"Smoky tomato jollof rice served with grilled chicken.",4000,,/images/photo-37538487.webp
Local Specialties,Grilled Fish and Miondo,"Charcoal-grilled fish with miondo and a side of pepper.",5500,Popular,/images/photo-8352785.webp
Local Specialties,Koki and Plantain,"Steamed black-eyed-pea pudding with sweet ripe plantain.",3500,,/images/photo-18805640.webp
Local Specialties,Eru and Water Fufu,"Finely shredded eru greens with waterleaf and water fufu.",4000,New,/images/photo-13994299.webp
